Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,8787.4,8830.6,8746.2,8821.8,368790205,5429.24
03-JAN-2023,8834.25,8868.1,8809.4,8843.35,410195899,5756.67
04-JAN-2023,8849.55,8863.95,8713.5,8745.7,379419045,4999.37
05-JAN-2023,8778.35,8818,8722.95,8808.6,330382381,5340.77
06-JAN-2023,8817.7,8827.05,8717.1,8752.3,335705183,5222.75
09-JAN-2023,8816,8841.75,8779.6,8826.95,409182092,4267.55
10-JAN-2023,8836.55,8836.8,8734.2,8786.3,321783512,4573.25
11-JAN-2023,8802.65,8829.05,8748.7,8785.4,326455140,4982.6
12-JAN-2023,8816.4,8816.5,8709.35,8748.9,254516678,3984.35
13-JAN-2023,8768,8769.45,8687.1,8747.4,324067750,5426.55
16-JAN-2023,8766.45,8797.55,8694.6,8707.35,405303178,5072.17
17-JAN-2023,8723.7,8728.4,8634.75,8695.65,336469404,4796.7
18-JAN-2023,8715.5,8773.05,8700.5,8754.1,248867874,4596.11
19-JAN-2023,8734.55,8762.75,8706.9,8755.35,364526205,5189.63
20-JAN-2023,8763.75,8770.45,8677.5,8687.15,238272041,5126.47
23-JAN-2023,8717.55,8797.2,8690.8,8788.5,332612060,5468.12
24-JAN-2023,8801.95,8804.25,8720.9,8733.45,259132659,4784.9
25-JAN-2023,8724.35,8724.35,8576.85,8604.1,345971386,5473.2
27-JAN-2023,8629.25,8636.8,8374.55,8463,449216868,6351.29
30-JAN-2023,8466.4,8563.85,8410.95,8476.95,458867036,5386.55
31-JAN-2023,8511.55,8654.95,8473.05,8638,398500551,5967.12
01-FEB-2023,8714.3,8801.6,8402.55,8554.7,511517606,8291.84
02-FEB-2023,8528.55,8630.2,8489.25,8580.65,441041034,6328.21
03-FEB-2023,8618.95,8632.8,8469.4,8604.05,411594480,4875.39
06-FEB-2023,8611.6,8684.05,8601.85,8667.3,881070043,5320.94
07-FEB-2023,8680.2,8692.85,8610.6,8659.5,413787832,4418.46
08-FEB-2023,8672.25,8747.65,8639.8,8740.45,290942899,4416.72
09-FEB-2023,8760.3,8778.75,8719.3,8758.55,253217070,5243.12
10-FEB-2023,8733.1,8789.6,8708.3,8771.75,240428429,5649.54
13-FEB-2023,8742.8,8756.3,8617.35,8629.5,221300452,8185.63
14-FEB-2023,8637.7,8654.3,8564.1,8627.35,225864307,4636.59
15-FEB-2023,8614.3,8698.2,8602.85,8688.85,169783291,4888.18
16-FEB-2023,8723.15,8774.55,8707.4,8749.7,213646147,4717.39
17-FEB-2023,8722.7,8732.4,8644.7,8658.85,255755757,4064.78
20-FEB-2023,8680.85,8702.4,8614,8647.3,303656451,4164.45
21-FEB-2023,8672.35,8675.5,8599.85,8609.95,219705292,4179.8
22-FEB-2023,8580.05,8598.85,8491.1,8519.75,276375212,5091.29
23-FEB-2023,8523.25,8531.3,8422.25,8507.45,479657134,6014.65
24-FEB-2023,8531.85,8564.8,8463.95,8476.95,329348466,4686.28
27-FEB-2023,8467.3,8468.7,8338.2,8418,274758063,4235.18
28-FEB-2023,8444.4,8483.4,8426.45,8456.7,266979185,5591.14
01-MAR-2023,8474.1,8575.5,8470.9,8567.7,268626842,4139.74
02-MAR-2023,8567.1,8581.5,8533.85,8549,184956983,3541.06
03-MAR-2023,8595.9,8640,8584.4,8623.75,251201020,4278.37
06-MAR-2023,8660.25,8724.85,8658.5,8680.65,225837383,3924.79
08-MAR-2023,8649.55,8753.25,8627.45,8745.1,216987273,5324.97
09-MAR-2023,8768.3,8785.65,8679.35,8690.95,179366473,3845.18
10-MAR-2023,8636.4,8636.4,8544.8,8627.95,186010199,3805.8
13-MAR-2023,8625.85,8649.35,8433.05,8455.55,214799938,4077.77
14-MAR-2023,8457.6,8472,8372.75,8423.5,238717825,4649.15
15-MAR-2023,8493.95,8512.75,8397.2,8411.4,211528150,3671.16
16-MAR-2023,8402.35,8483.8,8323.7,8455.05,294654933,4809.82
17-MAR-2023,8519.6,8535.8,8445.6,8487.7,298245017,5244.2
20-MAR-2023,8471.25,8487.85,8316.5,8392.2,236899897,3915.1
21-MAR-2023,8422.6,8447.55,8382.65,8433.6,205160706,3837.42
22-MAR-2023,8467.5,8490.8,8445.15,8451.7,308392865,3455.33
23-MAR-2023,8435.5,8452.45,8390.2,8399.9,179846673,3359.76
24-MAR-2023,8399.85,8402.95,8266.3,8283.75,275944074,3844.57
27-MAR-2023,8278.85,8325.05,8243.75,8255.85,225651098,3825.78
28-MAR-2023,8272.9,8283.95,8194.6,8231.1,239869746,3243.8
29-MAR-2023,8225.2,8390.45,8225.05,8373.5,278291817,4988.9
31-MAR-2023,8413.3,8490.9,8410.75,8466.8,285669896,4288.31
03-APR-2023,8513.3,8515.1,8465.4,8497.75,264555577,3712.36
05-APR-2023,8500.7,8501.45,8451.8,8495.55,270278034,4352.7
06-APR-2023,8490.35,8559.15,8466.7,8550.65,243404412,3979.11
10-APR-2023,8573.85,8591.5,8537.45,8581.95,182915122,4116.13
11-APR-2023,8606.05,8634.8,8570.1,8607.85,197208061,4221.11
12-APR-2023,8621.05,8661.25,8615.85,8646.4,185373348,4274.27
13-APR-2023,8671.75,8699.05,8626.45,8677.35,226155723,6275.95
17-APR-2023,8647.95,8707.85,8610.4,8699.2,208612792,5252.84
18-APR-2023,8723.15,8781.75,8705.8,8771.7,233227618,5575.61
19-APR-2023,8789.55,8805.25,8741.5,8753.45,187850423,4627.5
20-APR-2023,8773.65,8792.4,8752.45,8767.1,181385294,4758.14
21-APR-2023,8780.7,8782.15,8700.15,8731.3,470902847,4456.22
24-APR-2023,8743.1,8794.6,8721.95,8790.3,239668970,3711.32
25-APR-2023,8806.3,8846.4,8791.3,8815.1,220388258,4466.83
26-APR-2023,8800.5,8839.45,8770.85,8834.2,323296365,4404.88
27-APR-2023,8835.9,8874.9,8834.65,8865.15,479871419,5419.56
28-APR-2023,8878.85,8970.15,8861.4,8962.85,393770741,7154.43
02-MAY-2023,9010.75,9080.7,8996.95,9062.2,395367728,6714.73
03-MAY-2023,9046.65,9099.85,9032.15,9065.85,276250253,5481.31
04-MAY-2023,9080.65,9132.15,9071.4,9122.9,293260894,5012.8
05-MAY-2023,9130.45,9155.3,9027.25,9036.8,305305379,5999.75
08-MAY-2023,9069.4,9156.25,9062.2,9149.15,256241247,5233.13
09-MAY-2023,9174.25,9222.15,9132.6,9152.8,251797516,5231.44
10-MAY-2023,9184.75,9184.75,9101.25,9158,320736732,4719.94
11-MAY-2023,9191.85,9221.8,9169.1,9194.65,382998753,4805.9
12-MAY-2023,9186.4,9194.6,9125.25,9149.6,270420454,4939.33
15-MAY-2023,9162,9255.55,9133.95,9239.25,259591537,4815.53
16-MAY-2023,9279.25,9331.6,9261.2,9269.7,404458117,6801.56
17-MAY-2023,9271.15,9274.2,9171.7,9244.65,322969591,6147.49
18-MAY-2023,9280.3,9287.2,9166,9176.55,221672145,4840.44
19-MAY-2023,9199.15,9200.3,9095.05,9176.1,229862132,5180.74
22-MAY-2023,9162.65,9241.25,9140.9,9235.9,205547756,4124.76
23-MAY-2023,9255.75,9304.5,9247.9,9286.15,184264627,4399.5
24-MAY-2023,9290.05,9319.05,9248.05,9267.6,250579986,5094.02
25-MAY-2023,9264.8,9342,9254.95,9332,349309617,5297.8
26-MAY-2023,9342.15,9435.3,9340.45,9428.6,297277265,5490.66
29-MAY-2023,9468.6,9478.7,9419.9,9470.35,275017366,4775.88
30-MAY-2023,9480.8,9514.95,9459.6,9506.4,225300754,4617.68
31-MAY-2023,9496.85,9547.4,9485.65,9539.9,321400982,7577.69
01-JUN-2023,9547.3,9603.4,9541.1,9559.5,219329351,4315.08
02-JUN-2023,9590.25,9637.8,9587,9629.65,204709926,5127.2
05-JUN-2023,9669.2,9684.9,9629.5,9638.15,209577456,4561.37
06-JUN-2023,9643.3,9644.6,9571.65,9628.15,171969631,4377.27
07-JUN-2023,9658.55,9710.25,9644.15,9704.75,356642917,4486.65
08-JUN-2023,9723.95,9725.15,9599.4,9609.6,313193445,4925.54
09-JUN-2023,9637.6,9650.05,9590.25,9598.85,229547308,3983.44
12-JUN-2023,9628.45,9685.8,9592.55,9675.65,221381197,4071.77
13-JUN-2023,9696.15,9801.3,9694.35,9795.5,398079157,7007.35
14-JUN-2023,9825.8,9833,9793.4,9819.65,543766989,6465.72
15-JUN-2023,9835.25,9864.3,9796.05,9803.35,347405729,5920.69
16-JUN-2023,9831.75,9906.35,9817.35,9884.2,386505372,6589.59
19-JUN-2023,9926.8,9950.25,9880,9891.55,315442934,6024.41
20-JUN-2023,9900,9968.2,9871.55,9957.55,306248531,6483.84
