Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2017,3678.35,3704.25,3652.2,3696.4,103251109,1574.2
03-JAN-2017,3704.35,3723.15,3691.45,3719,95201640,1840.32
04-JAN-2017,3730.4,3748.75,3712.6,3720.75,104409033,1931.03
05-JAN-2017,3742.05,3781.5,3741.15,3779.1,125028147,2089.64
06-JAN-2017,3792.7,3809.55,3760.9,3766.7,132413899,2520.83
09-JAN-2017,3775.3,3782.4,3754.5,3780.05,93015955,1731.49
10-JAN-2017,3796.1,3800.9,3773.75,3793.9,118396210,2175.23
11-JAN-2017,3811.6,3863.15,3810.55,3855.7,162310770,2599.44
12-JAN-2017,3866.7,3878.35,3832.9,3852.15,134193572,2438.75
13-JAN-2017,3866,3872.3,3823.75,3837.7,127728241,2093.03
16-JAN-2017,3831.1,3856.4,3814.1,3853.1,102584713,1674.07
17-JAN-2017,3860.55,3886,3850.7,3862.95,107965913,1885.81
18-JAN-2017,3869.5,3899.4,3863.65,3881.7,137491225,2200.97
19-JAN-2017,3888.4,3898.9,3875.8,3891.8,139605841,2171.93
20-JAN-2017,3886.05,3896.85,3808.45,3814.05,187572169,2444.15
23-JAN-2017,3812.4,3842.05,3803.85,3829.35,127986423,1808.27
24-JAN-2017,3841.6,3879.15,3830.2,3872.4,149198869,3349.59
25-JAN-2017,3896.5,3920.4,3865.3,3916.3,208664819,3566.44
27-JAN-2017,3921.8,3962.3,3915.55,3946.2,205903735,2945.72
30-JAN-2017,3941.7,3961.1,3920.25,3940.75,198679555,2562.29
31-JAN-2017,3938.1,3938.4,3860.6,3866.5,195168715,2681.6
01-FEB-2017,3873.3,3958.1,3853.35,3954.1,203620789,3011.54
02-FEB-2017,3958.25,4003.4,3950.5,3994.05,202841773,3511.2
03-FEB-2017,4011.65,4067.1,4011.6,4061.65,340926194,5920.13
06-FEB-2017,4087.95,4102.1,4065.35,4086.95,214899968,3996.64
07-FEB-2017,4094.5,4101.2,4035.95,4063.2,212592203,3562.96
08-FEB-2017,4076.7,4108,4048.55,4101.2,155928165,2999.88
09-FEB-2017,4116.15,4143.2,4078.6,4119.4,228286559,4277.67
10-FEB-2017,4139.15,4143.5,4102.3,4119.7,160227017,2713.59
13-FEB-2017,4127.95,4134.85,4040.6,4081.2,155216072,2747.63
14-FEB-2017,4090.25,4090.35,4059.2,4079.45,148537684,2861.96
15-FEB-2017,4083.1,4088.35,4000.3,4007.1,181505504,2993.11
16-FEB-2017,4012.85,4073.4,3989.5,4069.45,134227891,2620.26
17-FEB-2017,4089.9,4100.55,4062.8,4094.3,155373938,3004.4
20-FEB-2017,4100.85,4151.1,4092,4145.7,255803708,3422.3
21-FEB-2017,4155.8,4182.75,4150.9,4176.45,232597739,3187.62
22-FEB-2017,4188,4200.65,4136.6,4143.35,205388301,3368.93
23-FEB-2017,4147.05,4173.65,4140.45,4150.75,258009119,3742.36
27-FEB-2017,4143.6,4170.15,4141.6,4155.7,207459820,3454.31
28-FEB-2017,4164.9,4194.4,4163.1,4187.25,239810753,3458.22
01-MAR-2017,4202.5,4218.9,4191.6,4199.35,167266658,2550.39
02-MAR-2017,4217.4,4227.6,4103.25,4113.45,213168716,3390.94
03-MAR-2017,4111.35,4155.65,4101.95,4150.5,133199522,2426.41
06-MAR-2017,4166.45,4187.4,4156.8,4185.2,136621758,2515.58
07-MAR-2017,4197.3,4199.35,4175.75,4183.2,156099322,2363.37
08-MAR-2017,4184.15,4192.05,4113.25,4138.45,153738619,2322.05
