Date,Close
1-3-2022,17625.7
1-4-2022,17805.25
1-5-2022,17925.25
1-6-2022,17745.9
1-7-2022,17812.7
1-10-2022,18003.3
1-11-2022,18055.75
1-12-2022,18212.35
1-13-2022,18257.8
1-14-2022,18255.75
1-17-2022,18308.1
1-18-2022,18113.05
1-19-2022,17938.4
1-20-2022,17757
1-21-2022,17617.15
1-24-2022,17149.1
1-25-2022,17277.95
1-27-2022,17110.15
1-28-2022,17101.95
1-31-2022,17339.85
2-1-2022,17576.85
2-2-2022,17780
2-3-2022,17560.2
2-4-2022,17516.3
2-7-2022,17213.6
2-8-2022,17266.75
2-9-2022,17463.8
2-10-2022,17605.85
2-11-2022,17374.75
2-14-2022,16842.8
2-15-2022,17352.45
2-16-2022,17322.2
2-17-2022,17304.6
2-18-2022,17276.3
2-21-2022,17206.65
2-22-2022,17092.2
2-23-2022,17063.25
2-24-2022,16247.95
2-25-2022,16658.4
2-28-2022,16793.9
3-2-2022,16605.95
3-3-2022,16498.05
3-4-2022,16245.35
3-7-2022,15863.15
3-8-2022,16013.45
3-9-2022,16345.35
3-10-2022,16594.9
3-11-2022,16630.45
3-14-2022,16871.3
3-15-2022,16663
3-16-2022,16975.35
3-17-2022,17287.05
3-21-2022,17117.6
3-22-2022,17315.5
3-23-2022,17245.65
3-24-2022,17222.75
3-25-2022,17153
3-28-2022,17222
3-29-2022,17325.3
3-30-2022,17498.25
3-31-2022,17464.75
4-1-2022,17670.45
4-4-2022,18053.4
4-5-2022,17957.4
4-6-2022,17807.65
4-7-2022,17639.55
4-8-2022,17784.35
4-11-2022,17674.95
4-12-2022,17530.3
4-13-2022,17475.65
4-18-2022,17173.65
4-19-2022,16958.65
4-20-2022,17136.55
4-21-2022,17392.6
4-22-2022,17171.95
4-25-2022,16953.95
4-26-2022,17200.8
4-27-2022,17038.4
4-28-2022,17245.05
4-29-2022,17102.55
5-2-2022,17069.1
5-4-2022,16677.6
5-5-2022,16682.65
5-6-2022,16411.25
5-9-2022,16301.85
5-10-2022,16240.05
5-11-2022,16167.1
5-12-2022,15808
5-13-2022,15782.15
5-16-2022,15842.3
5-17-2022,16259.3
5-18-2022,16240.3
5-19-2022,15809.4
5-20-2022,16266.15
5-23-2022,16214.7
5-24-2022,16125.15
5-25-2022,16025.8
5-26-2022,16170.15
5-27-2022,16352.45
5-30-2022,16661.4
5-31-2022,16584.55
6-1-2022,16522.75
6-2-2022,16628
6-3-2022,16584.3
6-6-2022,16569.55
6-7-2022,16416.35
6-8-2022,16356.25
6-9-2022,16478.1
6-10-2022,16201.8
6-13-2022,15774.4
6-14-2022,15732.1
6-15-2022,15692.15
6-16-2022,15360.6
6-17-2022,15293.5
6-20-2022,15350.15
6-21-2022,15638.8
6-22-2022,15413.3
6-23-2022,15556.65
6-24-2022,15699.25
6-27-2022,15832.05
6-28-2022,15850.2
6-29-2022,15799.1
6-30-2022,15780.25
7-1-2022,15752.05
7-4-2022,15835.35
7-5-2022,15810.85
7-6-2022,15989.8
7-7-2022,16132.9
7-8-2022,16220.6
7-11-2022,16216
7-12-2022,16058.3
7-13-2022,15966.65
7-14-2022,15938.65
7-15-2022,16049.2
7-18-2022,16278.5
7-19-2022,16340.55
7-20-2022,16520.85
7-21-2022,16605.25
7-22-2022,16719.45
7-25-2022,16631
7-26-2022,16483.85
7-27-2022,16641.8
7-28-2022,16929.6
7-29-2022,17158.25
8-1-2022,17340.05
8-2-2022,17345.45
8-3-2022,17388.15
8-4-2022,17382
8-5-2022,17397.5
8-8-2022,17525.1
8-10-2022,17534.75
8-11-2022,17659
8-12-2022,17698.15
8-16-2022,17825.25
8-17-2022,17944.25
8-18-2022,17956.5
8-19-2022,17758.45
8-22-2022,17490.7
8-23-2022,17577.5
8-24-2022,17604.95
8-25-2022,17522.45
8-26-2022,17558.9
8-29-2022,17312.9
8-30-2022,17759.3
9-1-2022,17542.8
9-2-2022,17539.45
9-5-2022,17665.8
9-6-2022,17655.6
9-7-2022,17624.4
9-8-2022,17798.75
9-9-2022,17833.35
9-12-2022,17936.35
9-13-2022,18070.05
9-14-2022,18003.75
9-15-2022,17877.4
9-16-2022,17530.85
9-19-2022,17622.25
9-20-2022,17816.25
9-21-2022,17718.35
9-22-2022,17629.8
9-23-2022,17327.35
9-26-2022,17016.3
9-27-2022,17007.4
9-28-2022,16858.6
9-29-2022,16818.1
9-30-2022,17094.35
10-3-2022,16887.35
10-4-2022,17274.3
10-6-2022,17331.8
10-7-2022,17314.65
10-10-2022,17241
10-11-2022,16983.55
10-12-2022,17123.6
10-13-2022,17014.35
10-14-2022,17185.7
10-17-2022,17311.8
10-18-2022,17486.95
10-19-2022,17512.25
10-20-2022,17563.95
10-21-2022,17576.3
10-24-2022,17730.75
10-25-2022,17656.35
10-27-2022,17736.95
10-28-2022,17786.8
10-31-2022,18012.2
11-1-2022,18145.4
11-2-2022,18082.85
11-3-2022,18052.7
11-4-2022,18117.15
11-7-2022,18202.8
11-9-2022,18157
11-10-2022,18028.2
11-11-2022,18349.7
11-15-2022,18403.4
11-16-2022,18409.65
11-17-2022,18343.9
11-18-2022,18307.65
11-21-2022,18159.95
11-22-2022,18244.2
